mitre_id,technique,tactics,groups
T1055.011,Extra Window Memory Injection,Stealth|Privilege Escalation,no
T1053.005,Scheduled Task,Execution|Persistence|Privilege Escalation,APT3|Cobalt Group|Silence|Chimera|Patchwork|Daggerfly|FIN7|TA2541|GALLIUM|Sandworm Team|BlackByte|HEXANE|Mustang Panda|Magic Hound|FIN13|ToddyCat|Blue Mockingbird|Molerats|Storm-0501|APT29|APT39|FIN8|Wizard Spider|Higaisa|APT41|Rancor|Earth Lusca|Ember Bear|Machete|APT42|FIN10|Naikon|RedCurl|Moonstone Sleet|APT32|Fox Kitten|APT33|OilRig|APT38|menuPass|APT-C-36|FIN6|LuminousMoth|Lazarus Group|BRONZE BUTLER|Winter Vivern|Dragonfly|MuddyWater|Gamaredon Group|Kimsuky|Stealth Falcon|BITTER|Confucius|APT37
T1205.002,Socket Filters,Stealth|Persistence|Command And Control,no
T1560.001,Archive via Utility,Collection,HAFNIUM|menuPass|Wizard Spider|APT33|Fox Kitten|CopyKittens|Volt Typhoon|APT1|Mustang Panda|Play|Chimera|Gallmaker|Sea Turtle|APT39|RedCurl|APT5|Agrius|GALLIUM|APT41|MuddyWater|APT28|Turla|Sowbug|BRONZE BUTLER|UNC3886|Kimsuky|APT3|FIN8|Ke3chang|Lotus Blossom|FIN13|Earth Lusca|MirrorFace|Magic Hound|Aquatic Panda|INC Ransom|VOID MANTICORE|Akira|ToddyCat
T1021.005,VNC,Lateral Movement,Gamaredon Group|FIN7|GCMAN|Fox Kitten
T1047,Windows Management Instrumentation,Execution,Cinnamon Tempest|Medusa Group|menuPass|INC Ransom|Gamaredon Group|APT32|Mustang Panda|MuddyWater|Wizard Spider|VOID MANTICORE|Leviathan|Velvet Ant|APT-C-36|FIN7|GALLIUM|Volt Typhoon|Blue Mockingbird|Naikon|Lazarus Group|Lotus Blossom|Sandworm Team|Earth Lusca|Indrik Spider|TA2541|Stealth Falcon|Aquatic Panda|APT29|OilRig|Windshift|FIN6|ToddyCat|Deep Panda|Threat Group-3390|MirrorFace|APT42|Ember Bear|Chimera|BlackByte|FIN13|Magic Hound|APT41|FIN8
T1687,Exploitation for Defense Impairment,Defense Impairment,no
T1113,Screen Capture,Collection,VOID MANTICORE|Dragonfly|BRONZE BUTLER|Gamaredon Group|OilRig|APT28|MoustachedBouncer|GOLD SOUTHFIELD|APT42|Magic Hound|MuddyWater|Winter Vivern|Silence|Volt Typhoon|Group5|APT39|Kimsuky|Dark Caracal|FIN7
T1027.011,Fileless Storage,Stealth,APT32|Turla
T1037,Boot or Logon Initialization Scripts,Persistence|Privilege Escalation,APT41|APT29|Rocke|UNC3886
T1557,Adversary-in-the-Middle,Credential Access|Collection,Mustang Panda|Kimsuky|Sea Turtle
T1033,System Owner/User Discovery,Discovery,APT38|Moonstone Sleet|FIN8|Ke3chang|FIN7|HAFNIUM|Winter Vivern|APT19|FIN10|APT32|APT39|APT37|Lazarus Group|Tropic Trooper|Threat Group-3390|Earth Lusca|Magic Hound|ZIRCONIUM|Chimera|Patchwork|Stealth Falcon|Volt Typhoon|LuminousMoth|Aquatic Panda|Gamaredon Group|GALLIUM|Wizard Spider|APT41|OilRig|HEXANE|Windshift|MuddyWater|Kimsuky|Dragonfly|MirrorFace|Medusa Group|Sandworm Team|Storm-1811|Sidewinder|APT3
T1583,Acquire Infrastructure,Resource Development,Kimsuky|Sea Turtle|Ember Bear|Indrik Spider|Agrius|Contagious Interview|Sandworm Team|Star Blizzard
T1218.011,Rundll32,Stealth,Gamaredon Group|FIN7|APT19|Kimsuky|UNC3886|Carbanak|APT3|Magic Hound|TA551|Blue Mockingbird|Wizard Spider|APT32|Lazarus Group|TA505|CopyKittens|APT41|Sandworm Team|APT28|HAFNIUM|APT38|Daggerfly|RedCurl|LazyScripter|Aquatic Panda|Storm-0501|MuddyWater
T1613,Container and Resource Discovery,Discovery,TeamTNT
T1583.007,Serverless,Resource Development,no
T1132.001,Standard Encoding,Command And Control,Sandworm Team|Patchwork|APT42|BRONZE BUTLER|TA551|Lazarus Group|Tropic Trooper|MuddyWater|APT19|APT33|HAFNIUM
T1027.009,Embedded Payloads,Stealth,Lazarus Group|TA577|Moonstone Sleet
T1556.003,Pluggable Authentication Modules,Defense Impairment|Persistence|Credential Access,no
T1578.004,Revert Cloud Instance,Defense Impairment,no
T1592,Gather Victim Host Information,Reconnaissance,Volt Typhoon
T1596.003,Digital Certificates,Reconnaissance,no
T1056.001,Keylogging,Collection|Credential Access,Magic Hound|APT39|APT38|Volt Typhoon|Ajax Security Team|APT28|Darkhotel|menuPass|APT5|Tonto Team|Threat Group-3390|Lazarus Group|Group5|PLATINUM|FIN4|Sandworm Team|Kimsuky|OilRig|APT42|Sowbug|HEXANE|APT32|APT3|FIN13|Ke3chang|APT41
T1564.012,File/Path Exclusions,Stealth,Turla
T1222.002,Linux and Mac Permissions,Defense Impairment,TeamTNT|Rocke|APT32
T1110.001,Password Guessing,Credential Access,VOID MANTICORE|APT28|APT29
T1216.001,PubPrn,Stealth,APT32
T1597.002,Purchase Technical Data,Reconnaissance,LAPSUS$
T1003,OS Credential Dumping,Credential Access,Ember Bear|APT39|Poseidon Group|Mustang Panda|Tonto Team|APT32|Suckfly|BlackByte|APT28|Sowbug|Storm-0501|Axiom|Leviathan
T1129,Shared Modules,Execution,Mustang Panda
T1602,Data from Configuration Repository,Collection,no
T1561.002,Disk Structure Wipe,Impact,VOID MANTICORE|APT38|Sandworm Team|Lazarus Group|Ember Bear|APT37
T1498.001,Direct Network Flood,Impact,no
T1574.007,Path Interception by PATH Environment Variable,Stealth|Execution,no
T1213.002,Sharepoint,Collection,Akira|HAFNIUM|LAPSUS$|Chimera|APT28|VOID MANTICORE|Ke3chang
T1006,Direct Volume Access,Stealth,Scattered Spider|Volt Typhoon
T1588.007,Artificial Intelligence,Resource Development,Contagious Interview|APT28
T1666,Modify Cloud Resource Hierarchy,Defense Impairment,no
T1564.008,Email Hiding Rules,Stealth,Scattered Spider|FIN4
T1491.002,External Defacement,Impact,Ember Bear|Sandworm Team
T1027.013,Encrypted/Encoded File,Stealth,Inception|Dark Caracal|Elderwood|Darkhotel|Transparent Tribe|APT28|APT18|Leviathan|Sidewinder|APT39|Lazarus Group|Saint Bear|APT33|Kimsuky|BITTER|TA505|Higaisa|APT19|APT-C-36|Fox Kitten|Threat Group-3390|TA2541|Malteiro|Magic Hound|Storm-1811|Blue Mockingbird|Tropic Trooper|Mofang|Contagious Interview|Whitefly|menuPass|Moses Staff|TeamTNT|Metador|Group5|Putter Panda|OilRig|APT32|MirrorFace|Moonstone Sleet
T1590.005,IP Addresses,Reconnaissance,Andariel|Magic Hound|HAFNIUM
T1499.001,OS Exhaustion Flood,Impact,no
T1014,Rootkit,Stealth,Winnti Group|APT41|Rocke|TeamTNT|APT28|UNC3886
T1546.013,PowerShell Profile,Privilege Escalation|Persistence,Turla
T1059.007,JavaScript,Execution,Turla|APT32|Saint Bear|FIN6|Sidewinder|MoustachedBouncer|APT-C-36|MuddyWater|Earth Lusca|TA577|Winter Vivern|Silence|Contagious Interview|LazyScripter|TA505|FIN7|Cobalt Group|Higaisa|Kimsuky|Indrik Spider|Molerats|Leafminer|Mustang Panda|TA578|Evilnum|Star Blizzard
T1685.003,Modify or Spoof Tool UI,Defense Impairment,no
T1590.002,DNS,Reconnaissance,no
T1485.001,Lifecycle-Triggered Deletion,Impact,no
T1123,Audio Capture,Collection,VOID MANTICORE|APT37
T1543,Create or Modify System Process,Persistence|Privilege Escalation,no
T1133,External Remote Services,Persistence|Initial Access,TeamTNT|FIN13|Ember Bear|APT18|Sandworm Team|Volt Typhoon|Velvet Ant|Scattered Spider|APT41|LAPSUS$|OilRig|GALLIUM|Ke3chang|Wizard Spider|APT29|Kimsuky|FIN5|Threat Group-3390|Sea Turtle|VOID MANTICORE|GOLD SOUTHFIELD|APT-C-36|Chimera|Dragonfly|Akira|APT28|Play|Leviathan
T1546.006,LC_LOAD_DYLIB Addition,Privilege Escalation|Persistence,no
T1539,Steal Web Session Cookie,Credential Access,LuminousMoth|Kimsuky|Sandworm Team|Scattered Spider|Evilnum|Star Blizzard|Lotus Blossom|APT42
T1053.007,Container Orchestration Job,Execution|Persistence|Privilege Escalation,no
T1568.002,Domain Generation Algorithms,Command And Control,APT41|TA551
T1036.007,Double File Extension,Stealth,Kimsuky|Mustang Panda
T1548.002,Bypass User Account Control,Privilege Escalation,APT38|Evilnum|APT37|BRONZE BUTLER|MuddyWater|Cobalt Group|Earth Lusca|Threat Group-3390|Patchwork|Medusa Group|APT29
T1496.003,SMS Pumping,Impact,no
T1016.001,Internet Connection Discovery,Discovery,Magic Hound|HEXANE|APT29|Gamaredon Group|TA2541|Lotus Blossom|FIN13|HAFNIUM|Turla|Volt Typhoon|FIN8
T1548.003,Sudo and Sudo Caching,Privilege Escalation,no
T1685.001,Disable or Modify Windows Event Log,Defense Impairment,Magic Hound|Threat Group-3390
T1682,Query Public AI Services,Reconnaissance,APT42|Kimsuky
T1560.003,Archive via Custom Method,Collection,FIN6|CopyKittens|Mustang Panda|Kimsuky|UNC3886|Lotus Blossom|Lazarus Group
T1578,Modify Cloud Compute Infrastructure,Defense Impairment,no
T1584.008,Network Devices,Resource Development,Volt Typhoon|APT28|ZIRCONIUM|Leviathan
T1583.008,Malvertising,Resource Development,Mustard Tempest
T1069,Permission Groups Discovery,Discovery,APT41|Scattered Spider|TA505|Volt Typhoon|APT3|FIN13
T1114,Email Collection,Collection,Ember Bear|Silent Librarian|Magic Hound|Scattered Spider
T1003.002,Security Account Manager,Credential Access,Daggerfly|GALLIUM|APT29|FIN13|MirrorFace|Dragonfly|Ke3chang|Agrius|APT41|APT5|menuPass|Threat Group-3390|Wizard Spider|Ember Bear
T1596.002,WHOIS,Reconnaissance,no
T1542.001,System Firmware,Stealth|Persistence,no
T1594,Search Victim-Owned Websites,Reconnaissance,Silent Librarian|Kimsuky|Volt Typhoon|EXOTIC LILY|Sandworm Team|TA578
T1069.003,Cloud Groups,Discovery,no
T1574.011,Services Registry Permissions Weakness,Stealth|Execution,no
T1596.001,DNS/Passive DNS,Reconnaissance,no
T1499.003,Application Exhaustion Flood,Impact,no
T1195.001,Compromise Software Dependencies and Development Tools,Initial Access,no
T1588.004,Digital Certificates,Resource Development,Silent Librarian|Lazarus Group|Sea Turtle|Mustang Panda|UNC3886|LuminousMoth|BlackTech
T1583.002,DNS Server,Resource Development,Sea Turtle|Axiom|HEXANE
T1561,Disk Wipe,Impact,no
T1071.004,DNS,Command And Control,Chimera|LazyScripter|APT41|Cobalt Group|OilRig|Ke3chang|APT39|Ember Bear|Tropic Trooper|APT18|FIN7
