command,toolkit,match,description
"*Invoke-BitlockerCheck*",PrivescCheck,Invoke-BitlockerCheck,"PrivescCheck is a tool built in Powershell used to enumerate common Windows configuration issues that can be leveraged for local privilege escalation"
"*Invoke-CredentialGuardCheck*",PrivescCheck,Invoke-CredentialGuardCheck,"PrivescCheck is a tool built in Powershell used to enumerate common Windows configuration issues that can be leveraged for local privilege escalation"
"*Invoke-DllHijackingCheck*",PrivescCheck,Invoke-DllHijackingCheck,"PrivescCheck is a tool built in Powershell used to enumerate common Windows configuration issues that can be leveraged for local privilege escalation"
"*Invoke-DriverCoInstallersCheck*",PrivescCheck,Invoke-DriverCoInstallersCheck,"PrivescCheck is a tool built in Powershell used to enumerate common Windows configuration issues that can be leveraged for local privilege escalation"
"*Invoke-GPPPasswordCheck*",PrivescCheck,Invoke-GPPPasswordCheck,"PrivescCheck is a tool built in Powershell used to enumerate common Windows configuration issues that can be leveraged for local privilege escalation"
"*Invoke-HardenedUNCPathCheck*",PrivescCheck,Invoke-HardenedUNCPathCheck,"PrivescCheck is a tool built in Powershell used to enumerate common Windows configuration issues that can be leveraged for local privilege escalation"
"*Invoke-HijackableDllsCheck*",PrivescCheck,Invoke-HijackableDllsCheck,"PrivescCheck is a tool built in Powershell used to enumerate common Windows configuration issues that can be leveraged for local privilege escalation"
"*Invoke-HotFixCheck*",PrivescCheck,Invoke-HotFixCheck,"PrivescCheck is a tool built in Powershell used to enumerate common Windows configuration issues that can be leveraged for local privilege escalation"
"*Invoke-PrintNightmareCheck*",PrivescCheck,Invoke-PrintNightmareCheck,"PrivescCheck is a tool built in Powershell used to enumerate common Windows configuration issues that can be leveraged for local privilege escalation"
"*Invoke-RegistryAlwaysInstallElevatedCheck*",PrivescCheck,Invoke-RegistryAlwaysInstallElevatedCheck,"PrivescCheck is a tool built in Powershell used to enumerate common Windows configuration issues that can be leveraged for local privilege escalation"
"*Invoke-SccmCacheFolderCheck -Info*",PrivescCheck,Invoke-SccmCacheFolderCheck,"PrivescCheck is a tool built in Powershell used to enumerate common Windows configuration issues that can be leveraged for local privilege escalation"
"*Invoke-SCMPermissionsCheck*",PrivescCheck,Invoke-SCMPermissionsCheck,"PrivescCheck is a tool built in Powershell used to enumerate common Windows configuration issues that can be leveraged for local privilege escalation"
"*Invoke-SensitiveHiveFileAccessCheck*",PrivescCheck,Invoke-SensitiveHiveFileAccessCheck,"PrivescCheck is a tool built in Powershell used to enumerate common Windows configuration issues that can be leveraged for local privilege escalation"
"*Invoke-SensitiveHiveShadowCopyCheck*",PrivescCheck,Invoke-SensitiveHiveShadowCopyCheck,"PrivescCheck is a tool built in Powershell used to enumerate common Windows configuration issues that can be leveraged for local privilege escalation"
"*Invoke-ServicesUnquotedPathCheck*",PrivescCheck,Invoke-ServicesUnquotedPathCheck,"PrivescCheck is a tool built in Powershell used to enumerate common Windows configuration issues that can be leveraged for local privilege escalation"
"*Invoke-UnattendFilesCheck*",PrivescCheck,Invoke-UnattendFilesCheck,"PrivescCheck is a tool built in Powershell used to enumerate common Windows configuration issues that can be leveraged for local privilege escalation"
"*Invoke-WinlogonCheck*",PrivescCheck,Invoke-WinlogonCheck,"PrivescCheck is a tool built in Powershell used to enumerate common Windows configuration issues that can be leveraged for local privilege escalation"
"*Invoke-WsusConfigCheck*",PrivescCheck,Invoke-WsusConfigCheck,"PrivescCheck is a tool built in Powershell used to enumerate common Windows configuration issues that can be leveraged for local privilege escalation"
*[mimikittenz.MemProcInspector]::*,Mimikittenz,[mimikittenz.MemProcInspector]::,post-exploitation powershell tool that utilizes the Windows function ReadProcessMemory() in order to extract plain-text passwords from various target processes.
*Add-Exfiltration*,Nishang,Add-Exfiltration,"Add data exfiltration capability to Gmail, Pastebin, a web server, and DNS to any script."
*Add-Persistence*,PowerSploit,Add-Persistence,Add persistence capabilities to a script.
*Add-RegBackdoor*,Nishang,Add-RegBackdoor,A backdoor which uses well known Debugger trick to execute payload with Sticky keys and Utilman (Windows key + U).
*Add-ScrnSaveBackdoor*,Nishang,Add-ScrnSaveBackdoor,A backdoor which can use Windows screen saver for remote command and script execution.
*Antak*,Nishang,Antak,"Execute PowerShell scripts in memory, run commands, and download and upload files using this webshell."
*Connect-PowerCat*,PowerCat,Connect-PowerCat,Connects a client to a listener/server.
*DNS_TXT_Pwnage*,Nishang,DNS_TXT_Pwnage,"A backdoor which can receive commands and PowerShell scripts from DNS TXT queries, execute them on a target, and be remotely controlled using the queries."
*Download_Execute*,Nishang,Download_Execute,"Download an executable in text format, convert it to an executable, and execute."
*Download-Execute-PS*,Nishang,Download-Execute-PS,Download and execute a PowerShell script in memory.
*Enable-DuplicateToken*,Nishang,Enable-DuplicateToken,When SYSTEM privileges are required.
*Execute-Command-MSSQL*,Nishang,Execute-Command-MSSQL,"Run PowerShell commands, native commands, or SQL commands on a MSSQL Server with sufficient privileges."
*Execute-DNSTXT-Code*,Nishang,Execute-DNSTXT-Code,Execute shellcode in memory using DNS TXT queries.
*Execute-OnTime*,Nishang,Execute-OnTime,A backdoor which can execute PowerShell scripts at a given time on a target.
*Find-AVSignature*,PowerSploit,Find-AVSignature,Locates single Byte AV signatures utilizing the same method as DSplit from class101.
*FireBuster*,Nishang,FireBuster,A pair of scripts for egress testing
*FireListener*,Nishang,FireListener,A pair of scripts for egress testing
*Get-GPPAutologon*,PowerSploit,Get-GPPAutologon,Retrieves autologon username and password from registry.xml if pushed through Group Policy Preferences.
*Get-GPPPassword*,PowerSploit,Get-GPPPassword,Retrieves the plaintext password and other information for accounts pushed through Group Policy Preferences.
*Get-HttpStatus*,PowerSploit,Get-HttpStatus,Returns the HTTP Status Codes and full URL for specified paths when provided with a dictionary file.
*Get-Keystrokes*,PowerSploit,Get-Keystrokes,"Logs keys pressed, time and the active window."
*Get-LSASecret*,Nishang,Get-LSASecret,Get LSA Secret from a target.
*Get-MicrophoneAudio*,PowerSploit,Get-MicrophoneAudio,Records audio from system microphone and saves to disk
*Get-PassHashes*,Nishang,Get-PassHashes,Get password hashes from a target.
*Get-PassHints*,Nishang,Get-PassHints,Get password hints of Windows users from a target.
*Get-SecurityPackages*,PowerSploit,Get-SecurityPackages,Enumerates all loaded security packages (SSPs).
*Get-TimedScreenshot*,PowerSploit,Get-TimedScreenshot,A function that takes screenshots at a regular interval and saves them to a folder.
*Get-VaultCredential*,PowerSploit,Get-VaultCredential,Displays Windows vault credential objects including cleartext web credentials.
*Get-VolumeShadowCopy*,PowerSploit,Get-VolumeShadowCopy,Lists the device paths of all local volume shadow copies.
*Get-WLAN-Keys*,Nishang,Get-WLAN-Keys,Get WLAN keys in plain text from a target.
*GetUserSPNS*,Multiple,GetUserSPNS,Enumerates SPNs for a given AD user
*Gupt-Backdoor*,Nishang,Gupt-Backdoor,A backdoor which can receive commands and scripts from a WLAN SSID without connecting to it.
*HTTP-Backdoor*,Nishang,HTTP-Backdoor,A backdoor which can receive instructions from third party websites and execute PowerShell scripts in memory.
*Install-SSP*,PowerSploit,Install-SSP,Installs a security support provider (SSP) dll.
*Invoke-ADSBackdoor*,Alternate Datastreams Backdoor,Invoke-ADSBackdoor,This script will obtain persistence on a Windows 7+ machine under both Standard and Administrative accounts by using two Alternate Data Streams.
*Invoke-AmsiBypass*,Nishang,Invoke-AmsiBypass,Implementation of publicly known methods to bypass/avoid AMSI.
*Invoke-BadPotato*,PowerSharpPack,Invoke-BadPotato,itm4ns Printspoofer in C#.
*Invoke-BetterSafetyKatz*,PowerSharpPack,Invoke-BetterSafetyKatz,"Fork of SafetyKatz that dynamically fetches the latest pre-compiled release of Mimikatz directly from gentilkiwi GitHub repo, runtime patches signatures and uses SharpSploit DInvoke to PE-Load into memory."
*Invoke-BloodHound*,Multiple,Invoke-BloodHound,"Enumerates AD, powershell version"
*Invoke-CallbackIEX*,PowerBreach,Invoke-CallbackIEX,The location for the various callback mechanisms. Calls back and executes encoded payload.
*Invoke-Carbuncle*,PowerSharpPack,Invoke-Carbuncle,Tool for interacting with outlook interop during red team engagements
*Invoke-Certify*,PowerSharpPack,Invoke-Certify,Active Directory certificate abuse.
*Invoke-CredentialInjection*,PowerSploit,Invoke-CredentialInjection,Create logons with clear-text credentials without triggering a suspicious Event ID 4648 (Explicit Credential Logon).
*Invoke-CredentialsPhish*,Nishang,Invoke-CredentialsPhish,Trick a user into giving credentials in plain text.
*Invoke-DAFT*,PowerSharpPack,Invoke-DAFT,DAFT: Database Audit Framework & Toolkit
*Invoke-DeadUserBackdoor*,PowerBreach,Invoke-DeadUserBackdoor,"Looks for dead user and calls back when does not exist. Admin-No, Firewall-No"
*Invoke-DinvokeKatz*,PowerSharpPack,Invoke-DinvokeKatz,SharpSploit DInvoke to PE-Load into memory
*Invoke-DllInjection*,PowerSploit,Invoke-DllInjection,Injects a Dll into the process ID of your choosing.
*Invoke-EventLogBackdoor*,PowerBreach,Invoke-EventLogBackdoor,"Monitors for failed RDP login attempts. Admin-Yes, Firewall-No, Auditing Reqd"
*Invoke-Eyewitness*,PowerSharpPack,Invoke-Eyewitness,"EyeWitness is designed to take screenshots of websites, provide some server header info, and identify default credentials if possible."
*Invoke-FakeLogonScreen*,PowerSharpPack,Invoke-FakeLogonScreen,Fake Windows logon screen to steal passwords
*Invoke-Farmer*,PowerSharpPack,Invoke-Farmer,Farmer is a project for collecting NetNTLM hashes in a Windows domain. Farmer achieves this by creating a local WebDAV server that causes the WebDAV Mini Redirector to authenticate from any connecting clients.
*Invoke-Get-RBCD-Threaded*,PowerSharpPack,Invoke-Get-RBCD-Threaded,Tool to discover Resource-Based Constrained Delegation attack paths in Active Directory environments
*Invoke-Gopher*,PowerSharpPack,Invoke-Gopher,C# tool to discover low hanging fruits.
*Invoke-Grouper*,PowerSharpPack,Invoke-Grouper,Find vulnerabilities in AD Group Policy
*Invoke-HandleKatz*,PowerSharpPack,Invoke-HandleKatz,PIC lsass dumper using cloned handles
*Invoke-HardenedUNCPathCheck*,PrivescCheck,Invoke-HardenedUNCPathCheck,"PrivescCheck is a tool built in Powershell used to enumerate common Windows configuration issues that can be leveraged for local privilege escalation"
*Invoke-Interceptor*,Nishang,Invoke-Interceptor,A local HTTPS proxy for MITM attacks.
*Invoke-Internalmonologue*,PowerSharpPack,Invoke-Internalmonologue,Internal Monologue Attack: Retrieving NTLM Hashes without Touching LSASS
*Invoke-Inveigh*,PowerSharpPack,Invoke-Inveigh,Windows C# LLMNR/mDNS/NBNS/DNS/DHCPv6 spoofer/man-in-the-middle tool
*Invoke-InveighRelay*,Multiple,Invoke-InveighRelay,Windows C# LLMNR/mDNS/NBNS/DNS/DHCPv6 spoofer/man-in-the-middle tool
*Invoke-JSRatRegsvr*,Nishang,Invoke-JSRatRegsvr,An interactive PowerShell reverse shell over HTTP using regsvr32.exe.
*Invoke-JSRatRundll*,Nishang,Invoke-JSRatRundll,An interactive PowerShell reverse shell over HTTP using rundll32.exe.
*Invoke-Kerberoast*,Multiple,Invoke-Kerberoast,Enumerates all users with SPNs and solicits are Kerberos ticket for service
*Invoke-KrbRelay*,PowerSharpPack,Invoke-KrbRelay,Framework for Kerberos relaying
*Invoke-LdapSignCheck*,PowerSharpPack,Invoke-LdapSignCheck,C# project to check LDAP signing.
*Invoke-Lockless*,PowerSharpPack,Invoke-Lockless,Lockless allows for the copying of locked files.
*Invoke-LoopBackdoor*,PowerBreach,Invoke-LoopBackdoor,"Callsback on set interval. Admin-No, Firewall-No"
*Invoke-MalSCCM*,PowerSharpPack,Invoke-MalSCCM,"This tool allows you to abuse local or remote SCCM servers to deploy malicious applications to hosts they manage. To use this tool your current process must have admin rights over the SCCM server. Typically deployments of SCCM will either have the management server and the primary server on the same host, in which case the host returned from the locate command can be used as the primary server."
*Invoke-Mimikatz*,PowerSploit,Invoke-Mimikatz,Reflectively loads Mimikatz 2.0 in memory using PowerShell. Can be used to extract sensitive credentials without writing anything to disk. Can be used for any functionality provided with Mimikatz.
*Invoke-Mimikittenz*,Nishang,Invoke-Mimikittenz,Extract juicy information from target process (like browsers) memory using regex.
*Invoke-NanoDump*,PowerSharpPack,Invoke-NanoDump,Dump LSASS like you mean it
*Invoke-NetworkRelay *,Nishang,Invoke-NetworkRelay ,Create network relays between computers.
*Invoke-Nightmare*,PrintNightmare,Invoke-Nightmare,"Used to exploit the PrintNightmare vulnerability"
*Invoke-NinjaCopy*,PowerSploit,Invoke-NinjaCopy,Copies a file from an NTFS partitioned volume by reading the raw volume and parsing the NTFS structures.
*Invoke-Obfuscation*,Invoke-Obfuscation,Invoke-Obfuscation,Provides various methods of obfuscating powershell commands
*Invoke-OxidResolver*,PowerSharpPack,Invoke-OxidResolver,IOXIDResolver from AirBus Security/PingCastle
*Invoke-P0wnedshell*,PowerSharpPack,Invoke-P0wnedshell,PowerShell Runspace Post Exploitation Toolkit
*Invoke-P0wnedshellx86*,PowerSharpPack,Invoke-P0wnedshellx86,PowerShell Runspace Post Exploitation Toolkit
*Invoke-PortBindBackdoor*,PowerBreach,Invoke-PortBindBackdoor,"Binds to TCP Port. Admin-No, Firewall-Yes"
*Invoke-PortKnockBackdoor*,PowerBreach,Invoke-PortKnockBackdoor,"Starts sniffer looking for trigger. Admin-Yes, Firewall-Yes"
*Invoke-Portscan*,PowerSploit,Invoke-Portscan,"Does a simple port scan using regular sockets, based (pretty) loosely on nmap."
*Invoke-PoshRatHttp*,Nishang,Invoke-PoshRatHttp,Reverse interactive PowerShell over HTTP or HTTPS.
*Invoke-Postdump*,PowerSharpPack,Invoke-Postdump,Another tool to perform minidump of LSASS process using few technics to avoid detection.
*Invoke-PowerShellIcmp*,Nishang,Invoke-PowerShellIcmp,An interactive PowerShell reverse shell over ICMP.
*Invoke-PowerShellTcp*,Nishang,Invoke-PowerShellTcp,An interactive PowerShell reverse connect or bind shell
*Invoke-PowerShellTcpOneLine*,Nishang,Invoke-PowerShellTcpOneLine,"Stripped down version of Invoke-PowerShellTcp. Also contains, a skeleton version which could fit in two tweets."
*Invoke-PowerShellTcpOneLineBind*,Nishang,Invoke-PowerShellTcpOneLineBind,Bind version of Invoke-PowerShellTcpOneLine.
*Invoke-PowerShellUdp*,Nishang,Invoke-PowerShellUdp,An interactive PowerShell reverse connect or bind shell over UDP
*Invoke-PowerShellUdpOneLine*,Nishang,Invoke-PowerShellUdpOneLine,Stripped down version of Invoke-PowerShellUdp.
*Invoke-PowerShellWmi*,Nishang,Invoke-PowerShellWmi,Interactive PowerShell using WMI.
*Invoke-PPLDump*,PowerSharpPack,Invoke-PPLDump,Dump the memory of a PPL with a userland exploit
*Invoke-Psexec*,Multiple,Invoke-Psexec,Powershell version of PSExec
*Invoke-PsGcat*,Nishang,Invoke-PsGcat,Send commands and scripts to specifed Gmail account to be executed by Invoke-PsGcatAgent
*Invoke-PsGcatAgent*,Nishang,Invoke-PsGcatAgent,Execute commands and scripts sent by Invoke-PsGcat.
*Invoke-PsUACme*,Nishang,Invoke-PsUACme,Bypass UAC.
*Invoke-ReflectivePEInjection*,PowerSploit,Invoke-ReflectivePEInjection,"Reflectively loads a Windows PE file (DLL/EXE) in to the powershell process, or reflectively injects a DLL in to a remote process."
*Invoke-ResolverBackdoor*,PowerBreach,Invoke-ResolverBackdoor,"Resolves name to decide when to callback. Admin-No, Firewall-No"
*Invoke-ReverseDnsLookup*,PowerSploit,Invoke-ReverseDnsLookup,Scans an IP address range for DNS PTR records.
*Invoke-Rubeus*,PowerSharpPack,Invoke-Rubeus,Rubeus is a C# toolset for raw Kerberos interaction and abuses.
*Invoke-SafetyKatz*,PowerSharpPack,Invoke-SafetyKatz,SafetyKatz is a combination of slightly modified version of @gentilkiwi's Mimikatz project and @subTee's .NET PE Loader I modified this one again with my own obfuscated Mimikatz Version.
*Invoke-SauronEye*,PowerSharpPack,Invoke-SauronEye,"Search tool to find specific files containing specific words, i.e. files containing passwords."
*Invoke-SccmCacheFolderCheck*,PrivescCheck,Invoke-SccmCacheFolderCheck,"PrivescCheck is a tool built in Powershell used to enumerate common Windows configuration issues that can be leveraged for local privilege escalation"
*Invoke-SCShell*,PowerSharpPack,Invoke-SCShell,Fileless lateral movement tool that relies on ChangeServiceConfigA to run command.
*Invoke-Seatbelt*,PowerSharpPack,Invoke-Seatbelt,Seatbelt is a C# project that performs a number of security oriented host-survey safety checks relevant from both offensive and defensive security perspectives.
*Invoke-SessionGopher*,Nishang,Invoke-SessionGopher,Identify admin jump-boxes and/or computers used to access Unix machines.
*Invoke-ShadowSpray*,PowerSharpPack,Invoke-ShadowSpray,A tool to spray Shadow Credentials across an entire domain in hopes of abusing long forgotten GenericWrite/GenericAll DACLs over other objects in the domain.
*Invoke-SharpAllowedToAct*,PowerSharpPack,Invoke-SharpAllowedToAct,Computer object takeover through Resource-Based Constrained Delegation (msDS-AllowedToActOnBehalfOfOtherIdentity)
*Invoke-SharpBlock*,PowerSharpPack,Invoke-SharpBlock,A method of bypassing EDR's active projection DLL's by preventing entry point exection.
*Invoke-SharpBypassUAC*,PowerSharpPack,Invoke-SharpBypassUAC,C# tool for UAC bypasses
*Invoke-SharpChrome*,PowerSharpPack,Invoke-SharpChrome,SharpChrome is a .NET 2.0 CLR project to retrieve data from Google Chrome
*Invoke-SharpChromium*,PowerSharpPack,Invoke-SharpChromium,".NET 4.0 CLR Project to retrieve Chromium data, such as cookies, history and saved logins."
*Invoke-SharpClipboard*,PowerSharpPack,Invoke-SharpClipboard,C# Clipboard Monitor
*Invoke-SharpCloud*,PowerSharpPack,Invoke-SharpCloud,"Simple C# for checking for the existence of credential files related to AWS, Microsoft Azure, and Google Compute."
*Invoke-SharpDPAPI*,PowerSharpPack,Invoke-SharpDPAPI,SharpDPAPI is a C# port of some Mimikatz DPAPI functionality.
*Invoke-SharpDump*,PowerSharpPack,Invoke-SharpDump,SharpDump is a C# port of PowerSploit's Out-Minidump.ps1 functionality.
*Invoke-SharPersist*,PowerSharpPack,Invoke-SharPersist,Windows persistence toolkit written in C#.
*Invoke-SharpGPO-RemoteAccessPolicies*,PowerSharpPack,Invoke-SharpGPO-RemoteAccessPolicies,A C# tool for enumerating remote access policies through group policy.
*Invoke-SharpGPOAbuse*,PowerSharpPack,Invoke-SharpGPOAbuse,SharpGPOAbuse is a .NET application written in C# that can be used to take advantage of a user's edit rights on a Group Policy Object (GPO) in order to compromise the objects that are controlled by that GPO.
*Invoke-SharpHandler*,PowerSharpPack,Invoke-SharpHandler,"This project reuses open handles to lsass to parse or minidump lsass, therefore you don't need to use your own lsass handle to interact with it."
