lolbas_file_name,lolbas_file_path,description
eventvwr.exe,c:\windows\system32\*,Displays Windows Event Logs in a GUI window.
eventvwr.exe,c:\windows\syswow64\*,Displays Windows Event Logs in a GUI window.
rasautou.exe,c:\windows\system32\*,Windows Remote Access Dialer
regedit.exe,c:\windows\system32\*,Used by Windows to manipulate registry
regedit.exe,c:\windows\syswow64\*,Used by Windows to manipulate registry
regsvr32.exe,c:\windows\system32\*,Used by Windows to register dlls
regsvr32.exe,c:\windows\syswow64\*,Used by Windows to register dlls
control.exe,c:\windows\system32\*,Binary used to launch controlpanel items in Windows
control.exe,c:\windows\syswow64\*,Binary used to launch controlpanel items in Windows
configsecuritypolicy.exe,c:\programdata\microsoft\windows defender\platform\4.18.2008.9-0\*,Binary part of Windows Defender. Used to manage settings in Windows Defender. you can configure different pilot collections for each of the co-management workloads. Being able to use different pilot collections allows you to take a more granular approach when shifting workloads.
scriptrunner.exe,c:\windows\system32\*,Execute binary through proxy binary to evade defensive counter measures
scriptrunner.exe,c:\windows\syswow64\*,Execute binary through proxy binary to evade defensive counter measures
offlinescannershell.exe,c:\program files\windows defender\offline\*,Windows Defender Offline Shell
atbroker.exe,c:\windows\system32\*,Helper binary for Assistive Technology (AT)
atbroker.exe,c:\windows\syswow64\*,Helper binary for Assistive Technology (AT)
mmc.exe,c:\windows\system32\*,Load snap-ins to locally and remotely manage Windows systems
mmc.exe,c:\windows\syswow64\*,Load snap-ins to locally and remotely manage Windows systems
mavinject.exe,c:\windows\system32\*,Used by App-v in Windows
mavinject.exe,c:\windows\syswow64\*,Used by App-v in Windows
ftp.exe,c:\windows\system32\*,A binary designed for connecting to FTP servers
ftp.exe,c:\windows\syswow64\*,A binary designed for connecting to FTP servers
ttdinject.exe,c:\windows\system32\*,Used by Windows 1809 and newer to Debug Time Travel (Underlying call of tttracer.exe)
ttdinject.exe,c:\windows\syswow64\*,Used by Windows 1809 and newer to Debug Time Travel (Underlying call of tttracer.exe)
certoc.exe,c:\windows\system32\*,Used for installing certificates
certoc.exe,c:\windows\syswow64\*,Used for installing certificates
at.exe,c:\windows\system32\*,Schedule periodic tasks
at.exe,c:\windows\syswow64\*,Schedule periodic tasks
netsh.exe,c:\windows\system32\*,Netsh is a Windows tool used to manipulate network interface settings.
netsh.exe,c:\windows\syswow64\*,Netsh is a Windows tool used to manipulate network interface settings.
pnputil.exe,c:\windows\system32\*,Used for installing drivers
ie4uinit.exe,c:\windows\system32\*,Executes commands from a specially prepared ie4uinit.inf file.
ie4uinit.exe,c:\windows\syswow64\*,Executes commands from a specially prepared ie4uinit.inf file.
infdefaultinstall.exe,c:\windows\system32\*,Binary used to perform installation based on content inside inf files
infdefaultinstall.exe,c:\windows\syswow64\*,Binary used to perform installation based on content inside inf files
forfiles.exe,c:\windows\system32\*,Selects and executes a command on a file or set of files. This command is useful for batch processing.
forfiles.exe,c:\windows\syswow64\*,Selects and executes a command on a file or set of files. This command is useful for batch processing.
register-cimprovider.exe,c:\windows\system32\*,Used to register new wmi providers
register-cimprovider.exe,c:\windows\syswow64\*,Used to register new wmi providers
tttracer.exe,c:\windows\system32\*,Used by Windows 1809 and newer to Debug Time Travel
